user_id,name,phone,address,location_id
1,"dr. Jelita Hidayat, S.Kom",+62-0644-234-5044,Gg. Medokan Ayu No. 286,1371
2,Soleh Saputra,+62 (074) 944-9606,Jalan Yos Sudarso No. 01,3273
3,Yance Palastri,086 696 6036,Jl. Asia Afrika No. 8,3471
4,Oman Agustina,080 612 8427,Gg. Cihampelas No. 5,3172
5,Fitria Samosir,+62-0343-039-3231,Jl. Ciwastra No. 72,3471
6,Karimah Winarsih,+62 (517) 789 6888,Gg. Abdul Muis No. 8,3471
7,dr. Gamanto Napitupulu,0848120488,Jl. K.H. Wahid Hasyim No. 009,7371
8,"Siska Napitupulu, S.Pt",+62 (855) 138 8470,Gang Jayawijaya No. 7,1371
9,Umi Usada,+62 (0970) 754-2813,Gang Kebonjati No. 9,3174
10,Amalia Puspita,+62-027-674-6015,Gg. Sukabumi No. 31,1375
11,"Restu Halimah, S.E.",+62 (31) 664-7866,Jl. Jend. Sudirman No. 135,6471
12,"Ellis Pratiwi, M.Pd",+62 (104) 799 1113,Jl. Gardujati No. 790,7371
13,Kasiyah Rahmawati,(009) 617-6098,Jalan Ir. H. Djuanda No. 13,3578
14,Jaswadi Tarihoran,+62 (51) 147-1301,Gg. M.H Thamrin No. 35,3172
15,"Vanya Sinaga, S.I.Kom",(061) 363-6655,Jalan Veteran No. 536,3573
16,Rusman Sihombing,+62 (07) 956 5134,Gang Kapten Muslihat No. 246,7371
17,KH. Bagas Rahayu,0826636919,Jl. Sukabumi No. 664,3171
18,"dr. Mujur Wacana, S.IP",(0691) 043-7882,Gang Cempaka No. 888,1375
19,Salsabila Maryadi,+62-0020-230-9126,Jalan HOS. Cokroaminoto No. 909,1371
20,"Ir. Fitria Pranowo, S.Psi",+62-0258-718-5030,Jalan Dipenogoro No. 24,3174
21,Hj. Widya Anggraini,+62 (0621) 146-2731,Jl. Astana Anyar No. 2,6472
22,"KH. Kala Sirait, S.Farm",+62 (237) 232-2045,Jl. Otto Iskandardinata No. 50,3172
23,Tgk. Dinda Pradana,0863108137,Gang Pasteur No. 2,1371
24,Paris Simbolon,(007) 971 8971,Jalan Pasirkoja No. 97,7371
25,Xanana Prabowo,+62 (054) 017-6340,Jl. Sukabumi No. 635,3471
26,"Dr. Fitria Pradana, S.T.",+62-74-395-4703,Jl. Gardujati No. 92,3273
27,Harjaya Fujiati,+62 (017) 429-8066,Gang Otto Iskandardinata No. 401,1375
28,Upik Puspasari,+62 (0746) 011 1596,Gang Ir. H. Djuanda No. 75,3171
29,"Ir. Kamidin Januar, S.Gz",+62-0434-413-1881,Jalan Rawamangun No. 48,6472
30,KH. Aslijan Padmasari,(0611) 847 3607,Jalan PHH. Mustofa No. 6,5171
31,Malika Dongoran,+62 (92) 764-0621,Gg. Veteran No. 85,3471
32,"Raden Jailani, M.Pd",+62 (069) 238 4059,Jalan Pelajar Pejuang No. 207,3578
33,Juli Lailasari,(011) 208-5227,Gg. Waringin No. 674,6471
34,Nrima Lazuardi,+62-0501-902-6735,Gang Moch. Ramdan No. 350,3175
35,"T. Elon Gunarto, M.M.",(0909) 276-6095,Jalan Cempaka No. 62,6471
36,Lutfan Novitasari,+62-02-197-2209,Jl. Kutai No. 732,3573
37,Ir. Enteng Nasyidah,+62 (93) 978 3033,Jalan Moch. Toha No. 02,3578
38,"Bala Mahendra, M.Kom.",+62 (0801) 233-8754,Gang Kutisari Selatan No. 15,7371
39,Tgk. Umar Iswahyudi,+62 (018) 736-3529,Gg. Jend. Sudirman No. 1,3573
40,"Luwar Mayasari, S.Psi",+62-0736-584-6505,Gang Cihampelas No. 25,3573
41,Septi Dabukke,+62 (860) 062-8247,Jl. Dipatiukur No. 533,3175
42,Amelia Mandala,+62 (044) 549-5247,Gg. Moch. Toha No. 78,6471
43,Ilsa Jailani,+62-027-319-8884,Gg. Cikutra Barat No. 8,1375
44,H. Rusman Nasyiah,+62 (96) 701 8980,Gg. Dipenogoro No. 400,6471
45,Siska Kusmawati,+62 (0154) 849 7641,Gang Ir. H. Djuanda No. 4,3175
46,Fathonah Wibowo,080 740 5319,Jl. Suniaraja No. 27,3573
47,Tgk. Kalim Handayani,+62 (33) 374-3063,Jl. Rawamangun No. 30,3173
48,drg. Mila Nasyiah,+62 (099) 551 5012,Gg. Medokan Ayu No. 7,3172
49,Carub Laksita,+62 (0248) 885 5010,Jalan Yos Sudarso No. 01,6471
50,dr. Ilsa Dabukke,+62-434-620-2813,Gang Antapani Lama No. 61,6471
51,Tgk. Rusman Sinaga,0878740069,Jalan Dipatiukur No. 7,3175
52,"R. Carub Nainggolan, S.IP",+62 (804) 700-6114,Gg. Cikutra Barat No. 0,6472
53,Atma Mulyani,+62-83-599-6149,Jalan Jakarta No. 97,7371
54,drg. Maras Winarno,(0431) 183 9992,Jl. Dipatiukur No. 4,5171
55,R. Gabriella Pudjiastuti,(076) 707-1969,Gg. Rungkut Industri No. 2,3173
56,"Kasiyah Widodo, S.Pd",+62 (039) 358-9763,Gg. Bangka Raya No. 27,7371
57,Tedi Purnawati,+62 (0253) 000-1429,Gang Dipenogoro No. 08,6472
58,Vanesa Firmansyah,+62 (0040) 136-0569,Jl. Indragiri No. 6,1371
59,"Sutan Among Tarihoran, S.Pd",+62 (18) 300-9274,Gang M.T Haryono No. 5,3578
60,"dr. Lanang Budiyanto, S.Sos",+62 (407) 654-6485,Gg. Waringin No. 869,1371
61,Zahra Halimah,+62-020-495-4899,Jl. Erlangga No. 837,3573
62,Victoria Permata,+62 (984) 813-1841,Gang Veteran No. 0,3174
63,Uli Mustofa,(0785) 955 1473,Gang H.J Maemunah No. 177,1371
64,Oliva Permadi,+62-27-872-1141,Gg. Moch. Toha No. 6,3573
65,Luhung Puspasari,+62 (088) 182 4686,Gg. Stasiun Wonokromo No. 840,5171
66,Maimunah Haryanti,(018) 038-3228,Jl. Bangka Raya No. 5,3172
67,Ian Irawan,+62 (085) 615 7759,Jl. Pasirkoja No. 346,3175
68,Nurul Manullang,+62-60-748-3613,Jalan Ahmad Dahlan No. 88,1375
69,"dr. Ani Lazuardi, S.IP",+62-972-706-5138,Gg. Ronggowarsito No. 8,3173
70,Maryadi Siregar,0824778130,Gang Abdul Muis No. 11,7371
71,Yessi Mustofa,(074) 029 3812,Jl. Rumah Sakit No. 7,6472
72,R. Kenzie Novitasari,(0582) 946 1997,Jalan Abdul Muis No. 1,6471
73,Indah Hassanah,(0256) 480-1399,Jl. M.T Haryono No. 2,3471
74,Nalar Mandasari,+62 (20) 139-2364,Jalan Otto Iskandardinata No. 08,7371
75,dr. Usyi Hardiansyah,(0467) 450 5789,Jalan Cikutra Timur No. 6,1371
76,Jane Natsir,+62 (0961) 261-2160,Jl. M.T Haryono No. 391,3172
77,Ir. Titin Siregar,+62-681-498-4270,Jalan Rajiman No. 548,7371
78,"R. Mustika Mustofa, S.T.",+62-654-051-8197,Jalan Joyoboyo No. 2,6471
79,Novi Pratiwi,(0698) 728 2750,Gg. Cihampelas No. 086,1371
80,Victoria Napitupulu,+62-167-234-2661,Jalan Lembong No. 28,3578
81,Talia Haryanti,+62 (227) 379-0408,Gg. Dr. Djunjunan No. 133,3172
82,Ganda Kuswandari,+62-027-995-0240,Jl. Stasiun Wonokromo No. 419,1371
83,"Samsul Narpati, M.Ak",+62-010-772-6993,Jalan Merdeka No. 9,1375
84,Melinda Anggriawan,+62 (0939) 085 3008,Jl. Veteran No. 181,3273
85,Ir. Cahyanto Nasyidah,+62 (0737) 318 9178,Gg. PHH. Mustofa No. 81,7371
86,Mutia Puspasari,+62-97-998-1915,Gg. Waringin No. 8,1371
87,"Ir. Betania Yuniar, S.Pt",0863478106,Gg. Dipenogoro No. 58,6472
88,Vivi Haryanti,+62 (87) 021 8808,Gang Jend. Sudirman No. 50,1375
89,Puti Hilda Permata,+62 (56) 275 6857,Gang Veteran No. 68,1375
90,Chandra Hastuti,(003) 199-8025,Gang Sentot Alibasa No. 57,3173
91,Dr. Silvia Rahimah,+62-321-518-3697,Gg. Sukajadi No. 0,3175
92,"Cornelia Natsir, M.M.",+62 (066) 726 0483,Jl. Sentot Alibasa No. 597,6472
